Movie Name,IMDB Rating,Description,Votes,Director(s),Stars,Metascore,Movie Genre,Total Duration
Breathe: Into the Shadows,7.6,"""A father's love can save a life... or take one,"" sets the tone for a dark and gritty series.","16,222",,"['Abhishek Bachchan', 'Nithya Menen', 'Amit Sadh', 'Ivana Kaur']",,"Drama, Thriller",46 min
Zoey's Extraordinary Playlist,8.1,A young woman discovers she has the ability to hear the innermost thoughts of people around her as songs and musical numbers.,"16,211",,"['Jane Levy', 'Skylar Astin', 'Alex Newell', 'John Clarence Stewart']",,"Comedy, Drama, Musical",60 min
The Night Clerk,5.6,A voyeuristic hotel clerk becomes the subject of a murder investigation.,"16,099",['Michael Cristofer'],"['Tye Sheridan', 'Ana de Armas', 'Helen Hunt', 'John Leguizamo']",44,"Crime, Drama, Mystery",90 min
Adverse,4.9,A rideshare driver discovers that his sister is in debt to a dangerous crime syndicate.,"15,952",['Brian A. Metcalf'],"['Thomas Ian Nicholas', 'Mickey Rourke', 'Penelope Ann Miller', 'Lou Diamond Phillips']",,"Crime, Thriller",94 min
The Boys in the Band,6.8,"At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.","15,868",['Joe Mantello'],"['Jim Parsons', 'Zachary Quinto', 'Matt Bomer', 'Andrew Rannells']",70,Drama,121 min
A Fall from Grace,5.9,"Disheartened since her ex-husband's affair, Grace Waters feels restored by a new romance. But when secrets erode her short-lived joy, Grace's vulnerable side turns violent.","15,704",['Tyler Perry'],"['Crystal Fox', 'Phylicia Rashad', 'Bresha Webb', 'Mehcad Brooks']",34,Thriller,120 min
Better Call Saul,9.3,"12 | 59 min | Crime, Drama","15,654",['Peter Gould'],"['Bob Odenkirk', 'Jonathan Banks', 'Rhea Seehorn', 'Patrick Fabian']",,"Crime, Drama",59 min
The Last Thing He Wanted,4.3,A veteran D.C. journalist loses the thread of her own narrative when a guilt-propelled errand for her father thrusts her from byline to unwitting subject in the very story she's trying to break. Adapted from Joan Didion's namesake novel.,"15,571",['Dee Rees'],"['Anne Hathaway', 'Ben Affleck', 'Rosie Perez', 'Willem Dafoe']",35,"Crime, Drama, Thriller",115 min
Two Distant Strangers,6.9,A man trying to get home to his dog gets stuck in a time loop that forces him to relive a deadly run-in with a cop.,"15,520","['Travon Free', 'Martin Desmond Roe']","['Joey Bada$$', 'Andrew Howard', 'Zaria', 'Mona Sishodia']",,"Short, Drama, Sci-Fi",32 min
The Hater,7.1,A young man searches for purpose in a net of hatred and violence that he tries to control.,"15,443",['Jan Komasa'],"['Maciej Musialowski', 'Vanessa Aleksander', 'Danuta Stenka', 'Jacek Koman']",61,"Drama, Thriller",135 min
Shikara,3.3,Shikara is the story of resilience in the face of insurmountable odds. It's also the story of a love that remains unextinguished through 30 years of exile. A timeless love story in the worst of times.,"15,233",['Vidhu Vinod Chopra'],"['Sadia Khateeb', 'Aadil Khan', 'Zain Khan Durrani', 'Priyanshu Chatterjee']",,"Drama, History, Romance",118 min
Alex Rider,7.5,"Alex Rider is an ordinary teenager enlisted to work on behalf of MI6, where he uses skills he didn't know he had to become an extraordinary spy.","15,200",,"['Otto Farrant', 'Vicky McClure', ""Brenock O'Connor"", 'Ronke Adekoluejo']",,"Action, Adventure, Drama",45 min
We Can Be Heroes,4.7,"When alien invaders capture the Earth's superheroes, their kids must learn to work together to save their parents- and the planet.","15,055",['Robert Rodriguez'],"['YaYa Gosselin', 'Pedro Pascal', 'Priyanka Chopra Jonas', 'Lyon Daniels']",51,"Action, Comedy, Drama",100 min
Inheritance,5.5,"The patriarch of a wealthy and powerful family suddenly passes away, leaving his daughter with a shocking secret inheritance that threatens to unravel and destroy the family.","15,049",['Vaughn Stein'],"['Lily Collins', 'Simon Pegg', 'Connie Nielsen', 'Chace Crawford']",31,"Drama, Mystery, Thriller",111 min
The English Game,7.6,The story of the invention of football and how it quickly rose to become the world's most popular game by crossing class divides.,"15,047",,"['Edward Holcroft', 'Kevin Guthrie', 'Charlotte Hope', 'Niamh Walsh']",,"Drama, History, Sport",281 min
Love Life,7.5,Anna Kendrick stars in a fresh take on a romantic comedy anthology series about the journey from first love to lasting,"15,023",,"['Anna Kendrick', 'Zoe Chao', 'Peter Vack', 'Sasha Compère']",,"Comedy, Romance",35 min
Black Box,6.2,"After losing his wife and his memory in a car accident, a single father undergoes an agonizing experimental treatment that causes him to question who he really is.","14,896",['Emmanuel Osei-Kuffour'],"['Mamoudou Athie', 'Phylicia Rashad', 'Amanda Christine', 'Tosin Morohunfola']",62,"Horror, Mystery, Sci-Fi",100 min
Brave New World,7.0,"In a utopia whose perfection hinges upon control of monogamy and privacy, members of the collective begin to question the rules, putting their regimented society on a collision course with forbidden love and revolution.","14,874",,"['Alden Ehrenreich', 'Jessica Brown Findlay', 'Harry Lloyd', 'Nina Sosanya']",,"Drama, Sci-Fi, Thriller",415 min
Superman: Red Son,6.4,"What if baby Kal-El's rocket landed, not in Kansas, but in the Soviet Union? That is the premise of this Elseworld's tale from DC Comics.","14,874",['Sam Liu'],"['Jason Isaacs', 'Amy Acker', 'Diedrich Bader', 'Vanessa Marshall']",,"Animation, Action, Sci-Fi",84 min
9-1-1: Lone Star,7.1,"A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems.","14,849",,"['Rob Lowe', 'Ronen Rubinstein', 'Sierra Aylina McClain', 'Jim Parrack']",,"Action, Drama, Thriller",43 min
The Walking Dead: World Beyond,4.4,The series will focus on the first generation to grow up during the zombie apocalypse.,"14,847",,"['Julia Ormond', 'Nicolas Cantu', 'Alexa Mansour', 'Nico Tortorella']",,"Drama, Horror, Sci-Fi",60 min
Love 101,7.5,"In 1990s Turkey, a group of teenage outcasts band together to make their beloved teacher fall in love so she'll have a reason to stay in town with them.","14,818",,"['Alina Boz', 'Mert Yazicioglu', 'Kubilay Aka', 'Selahattin Pasali']",,"Comedy, Drama, Romance",40 min
Bhaukaal,7.8,"Naveen Sikhera makes his way into the sin city as the new SSP, he is hit by the prevailing chaos and lawlessness in the city. Muzaffarnagar is ruled by Shaukeen gang in the east and the Dedha brothers rule the west.","14,768",,"['Mohit Raina', 'Siddhant Kapoor', 'Bidita Bag', 'Rashmi Rajput']",,"Action, Crime",30 min
Spinning Out,7.6,"A figure skating Olympic hopeful's struggle to balance love, family and fragile mental health as her dream of winning takes a dizzying hold.","14,765",,"['Kaya Scodelario', 'January Jones', 'Willow Shields', 'Evan Roderick']",,"Drama, Sport",48 min
Bruised,6.2,A disgraced MMA fighter finds redemption in the cage and the courage to face her demons when the son she had given up as an infant unexpectedly reenters her life.,"14,763",['Halle Berry'],"['Halle Berry', 'Adan Canto', 'Sheila Atim', 'Adriane Lenox']",52,"Drama, Sport",129 min
Worth,6.8,"An attorney in Washington D.C. battles against cynicism, bureaucracy and politics to help the victims of 9/11.","14,750",['Sara Colangelo'],"['Michael Keaton', 'Amy Ryan', 'Stanley Tucci', 'Tate Donovan']",67,"Biography, Drama, History",118 min
Spontaneous,6.5,"Get ready for the outrageous coming-of-age love story about growing up...and blowing up. When students in their school begin exploding (literally), seniors Mara and Dylan struggle to survive in a world where each moment may be their last.","14,711",['Brian Duffield'],"['Katherine Langford', 'Charlie Plummer', 'Yvonne Orji', 'Hayley Law']",78,"Comedy, Drama, Horror",101 min
Occupation: Rainfall,5.1,"Two years after aliens land on Earth, survivors from Sydney, Australia, fight in a desperate war as the number of casualties continue to grow.","14,664",['Luke Sparke'],"['Dan Ewing', 'Temuera Morrison', 'Daniel Gillies', 'Lawrence Makoare']",,"Action, Sci-Fi",128 min
The Turning,3.9,"A young governess is hired to look after an orphaned girl, but the return of the girl's problematic brother uncovers secrets from their past. A modern take on Henry James' novella ""The Turn of the Screw.""","14,514",['Floria Sigismondi'],"['Mackenzie Davis', 'Finn Wolfhard', 'Brooklynn Prince', 'Barbara Marten']",35,"Drama, Horror, Mystery",94 min
The Nest,6.3,Life for an entrepreneur and his American family begins to take a twisted turn after moving into an English country manor.,"14,471",['Sean Durkin'],"['Jude Law', 'Carrie Coon', 'Oona Roche', 'Charlie Shotwell']",80,"Drama, Romance",107 min
Don't Listen,6.1,"Daniel and Sara have a 9-year-old son, Eric, and they've just moved to a new home not knowing the neighbours call it ""the house of the voices"". Eric is the first one to notice the odd noises behind each door.","14,444",['Ángel Gómez Hernández'],"['Rodolfo Sancho', 'Ana Fernández', 'Ramón Barea', 'Belén Fabra']",,"Adventure, Drama, Horror",97 min
AK vs AK,6.9,"A filmmaker kidnaps the daughter of a movie star, and while the star searches for his daughter the director films the desperate search in real time for his next blockbuster movie.","14,425",['Vikramaditya Motwane'],"['Anil Kapoor', 'Anurag Kashyap', 'Sonam Kapoor', 'Harshvardhan Kapoor']",,"Action, Comedy, Crime",108 min
Zola,6.5,A stripper named Zola embarks on a wild road trip to Florida.,"14,389",['Janicza Bravo'],"['Taylour Paige', 'Riley Keough', 'Nicholas Braun', ""Ari'el Stachel""]",76,"Comedy, Crime, Drama",86 min
The Life Ahead,6.8,"In seaside Italy, a Holocaust survivor with a daycare business takes in a 12-year-old street kid who recently robbed her.","14,372",['Edoardo Ponti'],"['Sophia Loren', 'Ibrahima Gueye', 'Renato Carpentieri', 'Iosif Diego Pirvu']",66,Drama,94 min
Star Wars: The Clone Wars,9.9,"PG | 23 min | Animation, Action, Adventure","14,299","['Dave Filoni', 'Nathaniel Villanueva']","['Ashley Eckstein', 'Dave Filoni', 'Dee Bradley Baker', 'Sam Witwer']",,"Animation, Action, Adventure",23 min
Like a Boss,4.6,Two friends with very different ideals start a beauty company together. One is more practical while the other wants to earn her fortune and live a lavish lifestyle.,"14,298",['Miguel Arteta'],"['Tiffany Haddish', 'Rose Byrne', 'Salma Hayek', 'Karan Soni']",33,Comedy,83 min
The Gone Game,8.0,"Season 2 continues the chase for Sahil Gujral with a big opening twist-Sahil's wife, Suhani- the one he framed for his murder is shot dead. Will the secrets buried in Season 1 be exposed or will Sahil get away with the gone game once more?","14,265",,"['Sanjay Kapoor', 'Arjun Mathur', 'Shweta Tripathi', 'Shriya Pilgaonkar']",,"Crime, Thriller",20 min
Aarya,7.8,"When her world suddenly turns upside down, will Aarya become the very thing she hated?How far will she go to survive and protect her family?","14,243",,"['Ankur Bhatia', 'Sushmita Sen', 'Vikas Kumar', 'Virti Vaghani']",,"Crime, Drama, Thriller",51 min
The Secret: Dare to Dream,6.5,"A feature film adaptation of the self-help book, 'The Secret', which focuses on the power of positive thinking.","14,237",['Andy Tennant'],"['Katie Holmes', 'Josh Lucas', 'Celia Weston', ""Jerry O'Connell""]",32,"Drama, Romance",107 min
Utopia,6.7,"A group of young adults, who meet online, get a hold of a cult underground graphic novel, which not only pins them as a target of a shadowy deep state organization, but also burdens them with the dangerous task of saving the world.","14,119",,"['John Cusack', 'Ashleigh LaThrop', 'Dan Byrd', 'Desmin Borges']",,"Action, Drama, Mystery",55 min
The Craft: Legacy,4.5,A group of high school students form a coven of witches.,"13,935",['Zoe Lister-Jones'],"['Cailee Spaeny', 'Zoey Luna', 'Gideon Adlon', 'Lovie Simone']",54,"Drama, Fantasy, Horror",97 min
Rick and Morty,9.4,"15 | 22 min | Animation, Adventure, Comedy","13,851","['Wesley Archer', 'Jacob Hair']","['Justin Roiland', 'Chris Parnell', 'Spencer Grammer', 'Sarah Chalke']",,"Animation, Adventure, Comedy",22 min
Itaewon Class,8.2,"An ex-con opens a street bar in Itaewon, while also seeking revenge on the family who was responsible for his father's death.","13,843",,"['Park Seo-joon', 'Kim Da-Mi', 'Yoo Jae-myung', 'Nara']",,"Drama, Romance",70 min
Come Play,5.7,A monster named Larry manifests itself through smart phones and mobile devices. Feature film version of the 2017 short film.,"13,807",['Jacob Chase'],"['Azhy Robertson', 'Gillian Jacobs', 'John Gallagher Jr.', 'Winslow Fegley']",58,"Drama, Horror, Mystery",96 min
Coffee & Kareem,5.1,"Twelve-year-old Kareem Manning hires a criminal to scare his mom's new boyfriend -police officer James Coffee - but it backfires, forcing Coffee and Kareem to team up in order to save themselves from Detroit's most ruthless drug kingpin.","13,799",['Michael Dowse'],"['Ed Helms', 'Taraji P. Henson', 'Terrence Little Gardenhigh', 'Betty Gilpin']",35,"Action, Comedy, Crime",88 min
Star Wars: The Clone Wars,9.9,"PG | 27 min | Animation, Action, Adventure","13,755","['Dave Filoni', 'Nathaniel Villanueva']","['Ashley Eckstein', 'Julian Holloway', 'Katee Sackhoff', 'Dee Bradley Baker']",,"Animation, Action, Adventure",27 min
Work It,6.1,"When Quinn Ackerman's admission to the college of her dreams depends on her performance at a dance competition, she forms a ragtag group of dancers to take on the best squad in school...now she just needs to learn how to dance.","13,716",['Laura Terruso'],"['Keiynan Lonsdale', 'Liza Koshy', 'Briana Andrade-Gomes', 'Kalliane Brémault']",58,"Comedy, Music",93 min
The Tax Collector,4.8,"A ""tax collector"" working for a local crime lord finds his family's safety compromised when the rival of his boss shows up in L.A. and upends the business.","13,706",['David Ayer'],"['Bobby Soto', 'Cinthya Carmona', 'Shia LaBeouf', 'Jose Conejo Martin']",22,"Action, Crime, Drama",95 min
Truth Seekers,7.0,"A team of part-time paranormal investigators use homemade gizmos to track the supernatural, sharing their adventures online. As their haunted stake outs become more terrifying they begin to uncover an unimaginable, apocalyptic conspiracy.","13,497",,"['Nick Frost', 'Malcolm McDowell', 'Samson Kayo', 'Susan Wokoma']",,"Comedy, Drama, Fantasy",223 min
Spree,5.9,"Thirsty for a following, Kurt Kunkle is a rideshare driver who has figured out a deadly plan to go viral.","13,402",['Eugene Kotlyarenko'],"['Joe Keery', 'Sasheer Zamata', 'David Arquette', 'Kyle Mooney']",42,"Action, Comedy, Crime",93 min
Dark,8.8,"15 | 62 min | Crime, Drama, Mystery","13,388",['Baran bo Odar'],"['Hans Diehl', 'Jakob Diehl', 'Claude Heinrich', 'Louis Hofmann']",,"Crime, Drama, Mystery",62 min
A Teacher,6.9,"A Teacher explores the complexities and consequences of a predatory relationship between Claire Wilson, a young teacher at a suburban Texas high school and her student, Eric Walker.","13,318",,"['Kate Mara', 'Nick Robinson', 'Ashley Zukerman', 'Rya Kihlstedt']",,Drama,248 min
Dark,9.3,"15 | 64 min | Crime, Drama, Mystery","13,211",['Baran bo Odar'],"['Julika Jenkins', 'Carlotta von Falkenhayn', 'Stephan Kampwirth', 'Jördis Triebel']",,"Crime, Drama, Mystery",64 min
Chemical Hearts,6.2,A high-school transfer student finds a new passion when she begins to work on the school's newspaper.,"13,153",['Richard Tanne'],"['Lili Reinhart', 'Austin Abrams', 'Sarah Jones', 'Adhir Kalyan']",57,"Drama, Romance",93 min
